Each set of data will be proceeded by a header in square brackets: [].

[DESCRIPTION]
notableTrait,knownFor,calamity
a population of mostly wealthy people,flowers,being besieged by enemies

[PEOPLE]
Id,FirstName,LastName,Caste,RaceFrequency,Race,Age,Gender,Family,Spouse,Appearance,Strength,Weakness,Talent,Manuerism,Interaction,GoodOrEvilIdeal,LawfulOrChaoticIdeal,NeutralOrOtherIdeal,Bond,FlawOrSecret,RaceAge,ownedBusiness,worksAt
"476","WILMOT","BLANCHET","Peasant","Rare","Elf","14","Male","BLANCHET [369]","","Missing teeth","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Great at one game","Prone to predictions of doom","Suspicious","Charity or Greed","Fairness or Creativity","People or Self-knowledge","Loyal to a benefactor, patron, or employer","Has a powerful enemy","77","","INGMAR'S FARM"
"477","CIARDHA","REESE","Peasant","Common","Human","31","Male","REESE [143]","ADRIANA REESE","Unusual hair color","Wisdom - perceptive, spiritual, insightful","Dexterity - clumsy, fumbling","Sings beautifully","Makes constant jokes or puns","Hot tempered","Greater good or Might","Honor or Freedom","Neutrality or Redemption","Protective of colleagues or compatriots","Arrogance","31","CIARDHA'S FARM",""
"478","ARMELLE","KRISTENSEN","Peasant","Common","Human","9","Female","KRISTENSEN [370]","","","","","","","","","","","","","9","",""
"479","KYLLIKKI","AUGUSTIN","Peasant","Uncommon","Half-Elf","8","Female","AUGUSTIN [293]","","","","","","","","","","","","","8","",""
"480","HAMO","BUDNY","Peasant","Common","Human","23","Male","BUDNY [144]","GLYNIS BUDNY","Distinctive nose","Charisma - persuasive, forceful, born leader","Wisdom - oblivious, absentminded","Expert juggler","Fidgets","Ponderous","Life or Pain","Honor or Freedom","Moderation or Nation","Protective of close family members","Arrogance","23","HAMO'S FARM",""
"481","GLYNIS","BUDNY","Peasant","Uncommon","Dwarf","20","Female","BUDNY [144]","HAMO BUDNY","Distinctive nose","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Plays a musical instrument","Paces","Curious","Beauty or Domination","Tradition or Whimsy","Live and let live or Glory","Dedicated to fulfilling a personal life goal","Prone to rage","55","HAMO'S FARM",""
"482","GERDA","HUME","Peasant","Uncommon","Half-Elf","8","Female","HUME [371]","","","","","","","","","","","","","8","",""
"483","BORYA","CHRISTENSEN","Peasant","Common","Human","14","Male","CHRISTENSEN [372]","","Exceptionally ugly","Charisma - persuasive, forceful, born leader","Constitution - sickly, pale","Skilled actor and master of disguise","Speaks in rhyme or some other peculiar way","Ponderous","Charity or Greed","Logic or Independence","Live and let live or Glory","Drawn to a special place and Protective of colleagues or compatriots","Shameful or scandalous history","14","","LACHIE'S FARM"
"484","NEIL","FRAZIER","Peasant","Common","Human","6","Male","FRAZIER [252]","","","","","","","","","","","","","6","",""
"485","ACE","MIKKELSEN","Peasant","Common","Human","29","Male","MIKKELSEN [145]","BENTE MIKKELSEN","Ragged, dirty clothes","Wisdom - perceptive, spiritual, insightful","Intelligence - dim-witted, slow","Great at impersonations","Enunciates overly clearly","Quiet","Self-sacrifice or Slaughter","Fairness or Creativity","Moderation or Nation","Captivated by a romantic interest","Shameful or scandalous history","29","ACE'S FARM",""
"486","CHRISTIE","LYON","Peasant","Uncommon","Dwarf","17","Male","LYON [373]","","Birthmark","Charisma - persuasive, forceful, born leader","Strength - feeble, scrawny","Sings beautifully","Twirls hair or tugs beard","Quiet","Greater good or Might","Fairness or Creativity","Neutrality or Redemption","Drawn to a special place","Specific phobia","47","","ANGELINO'S FARM"
"487","FIONNGHUALA","GREER","Peasant","Common","Human","6","Female","GREER [290]","","","","","","","","","","","","","6","",""
"488","ADRIANA","REESE","Peasant","Uncommon","Half-Elf","22","Female","REESE [143]","CIARDHA REESE","Formal, clean clothes","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Sings beautifully","Uses colorful oaths and exclamations","Irritable","Charity or Greed","Responsibility or No limits","Balance or Aspiration","Out for revenge","Arrogance","24","CIARDHA'S FARM",""
"489","BENTE","MIKKELSEN","Peasant","Uncommon","Dwarf","20","Female","MIKKELSEN [145]","ACE MIKKELSEN","Exceptionally beautiful","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Paints beautifully","Prone to singing, whistling, or humming quietly","Suspicious","Life or Pain","Logic or Independence","People or Self-knowledge","Protective of close family members","Specific phobia","55","ACE'S FARM",""
"490","ALEXINA","PATERSON","Peasant","Common","Human","13","Female","PATERSON [374]","","Unusual eye color (or two different colors)","Constitution - hardy, hale, healthy","Wisdom - oblivious, absentminded","Knows thieves’ cant","Makes constant jokes or puns","Arrogant","Self-sacrifice or Slaughter","Community or Change","Neutrality or Redemption","Protective of a sentimental keepsake","Foolhardy bravery","13","","ANGELINO'S FARM"
"491","KATIA","JENSEN","Peasant","Common","Human","14","Female","JENSEN [375]","","Exceptionally ugly","Constitution - hardy, hale, healthy","Wisdom - oblivious, absentminded","Great with animals","Uses flowery speech or long words","Irritable","Charity or Greed","Fairness or Creativity","Neutrality or Redemption","Out for revenge","Prone to rage","14","","HENDRY'S FARM"
"492","IRAKLIY","CHRISTOFFERSEN","Peasant","Uncommon","Half-Elf","24","Male","CHRISTOFFERSEN [146]","CERRIDWEN CHRISTOFFERSEN","Distinctive posture (crooked or rigid)","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Great at impersonations","Prone to singing, whistling, or humming quietly","Suspicious","Beauty or Domination","Community or Change","Neutrality or Redemption","Captivated by a romantic interest","Forbidden love or susceptibility to romance","26","IRAKLIY'S FARM",""
"493","KAARLO","ESPENSEN","Peasant","Common","Human","14","Male","ESPENSEN [376]","","Braided beard or hair","Charisma - persuasive, forceful, born leader","Dexterity - clumsy, fumbling","Paints beautifully","Particularly low or high voice","Irritable","Respect or Retribution","Fairness or Creativity","Knowledge or Discovery","Protective of a valuable possession","Specific phobia","14","","HENDRY'S FARM"
"494","ADDY","HENRIKSEN","Peasant","Common","Human","23","Male","HENRIKSEN [147]","LIDIYA HENRIKSEN","Unusual skin color","Strength - powerful, brawny, strong as an ox","Intelligence - dim-witted, slow","Perfect memory","Chews something","Ponderous","Respect or Retribution","Tradition or Whimsy","Knowledge or Discovery","Drawn to a special place","Forbidden love or susceptibility to romance","23","ADDY'S FARM",""
"495","KUSTAA","TCHAIKOVSKY","Peasant","Uncommon","Dwarf","28","Male","TCHAIKOVSKY [127]","BERTA TCHAIKOVSKY","Braided beard or hair","Strength - powerful, brawny, strong as an ox","Wisdom - oblivious, absentminded","Great with children","Prone to predictions of doom","Blustering","Self-sacrifice or Slaughter","Honor or Freedom","Knowledge or Discovery","Out for revenge","Secret crime or misdeed","77","BERTA'S FARM",""
"496","ELISABETH","VINOGRADOV","Peasant","Uncommon","Half-Elf","12","Female","VINOGRADOV [377]","","Birthmark","Charisma - persuasive, forceful, born leader","Strength - feeble, scrawny","Expert juggler","Uses colorful oaths and exclamations","Arrogant","Self-sacrifice or Slaughter","Logic or Independence","Moderation or Nation","Dedicated to fulfilling a personal life goal","Arrogance","13","","JONATHAN'S FARM"
"497","ELIAN","GUNDERSEN","Peasant","Common","Human","0","Male","GUNDERSEN [107]","","","","","","","","","","","","","0","",""
"498","AULAY","POWELL","Peasant","Common","Human","1","Male","POWELL [113]","","","","","","","","","","","","","1","",""
"499","JOCK","ARCHAMBAULT","Peasant","Common","Human","22","Male","ARCHAMBAULT [148]","EILWEN ARCHAMBAULT","Distinctive nose","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Expert dart thrower and rock skipper","Chews something","Hot tempered","Respect or Retribution","Tradition or Whimsy","Knowledge or Discovery","Out for revenge","Overpowering greed","22","JOCK'S FARM",""
"500","FLORIANA","MIKKELSEN","Peasant","Uncommon","Dwarf","10","Female","MIKKELSEN [378]","","","","","","","","","","","","","27","",""
"501","CAINNEACH","SERGEANT","Peasant","Common","Human","30","Male","SERGEANT [149]","LIVIE SERGEANT","Unusual skin color","Wisdom - perceptive, spiritual, insightful","Strength - feeble, scrawny","Great at one game","Paces","Blustering","Beauty or Domination","Tradition or Whimsy","Knowledge or Discovery","Protective of a valuable possession","Specific phobia","30","CAINNEACH'S FARM",""
"502","ERIC","MONET","Peasant","Common","Human","26","Male","MONET [150]","RUAIRIDH MONET","Bald","Strength - powerful, brawny, strong as an ox","Intelligence - dim-witted, slow","Speaks several languages fluently","Slurs words, lisps, or stutters","Arrogant","Life or Pain","Community or Change","People or Self-knowledge","Protective of colleagues or compatriots","Possession of forbidden lore","26","ERIC'S FARM",""
"503","LIDIYA","HENRIKSEN","Peasant","Common","Human","30","Female","HENRIKSEN [147]","ADDY HENRIKSEN","Exceptionally beautiful","Charisma - persuasive, forceful, born leader","Dexterity - clumsy, fumbling","Speaks several languages fluently","Twirls hair or tugs beard","Blustering","Beauty or Domination","Honor or Freedom","Balance or Aspiration","Out for revenge and Loyal to a benefactor, patron, or employer","Foolhardy bravery","30","ADDY'S FARM",""
"504","EDE","ANTONOV","Peasant","Common","Human","37","Male","ANTONOV [138]","FRAUKE ANTONOV","Unusual skin color","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Paints beautifully","Prone to singing, whistling, or humming quietly","Hot tempered","Greater good or Might","Tradition or Whimsy","Balance or Aspiration","Protective of close family members","Envies another creature’s possessions or station","37","FRAUKE'S FARM",""
"505","EILWEN","ARCHAMBAULT","Peasant","Common","Human","29","Female","ARCHAMBAULT [148]","JOCK ARCHAMBAULT","Missing fingers","Wisdom - perceptive, spiritual, insightful","Strength - feeble, scrawny","Paints beautifully","Enunciates overly clearly","Rude","Self-sacrifice or Slaughter","Logic or Independence","Neutrality or Redemption","Captivated by a romantic interest","Forbidden love or susceptibility to romance","29","JOCK'S FARM",""
"506","LIVIE","SERGEANT","Peasant","Common","Human","26","Female","SERGEANT [149]","CAINNEACH SERGEANT","Braided beard or hair","Wisdom - perceptive, spiritual, insightful","Charisma - dull, boring","Expert juggler","Stares into the distance","Blustering","Beauty or Domination","Responsibility or No limits","Neutrality or Redemption","Loyal to a benefactor, patron, or employer","Secret crime or misdeed","26","CAINNEACH'S FARM",""
"507","RUAIRIDH","MONET","Peasant","Common","Human","26","Male","MONET [150]","ERIC MONET","Exceptionally beautiful","Constitution - hardy, hale, healthy","Wisdom - oblivious, absentminded","Great at impersonations","Enunciates overly clearly","Quiet","Life or Pain","Fairness or Creativity","Neutrality or Redemption","Captivated by a romantic interest","Enjoys decadent pleasures","26","ERIC'S FARM",""
"508","GALA","DENIAU","Peasant","Uncommon","Half-Elf","6","Female","DENIAU [379]","","","","","","","","","","","","","6","",""
"509","ALICJA","SIMON","Peasant","Uncommon","Half-Elf","30","Female","SIMON [126]","ADDY SIMON","Bald","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Skilled dancer","Twirls hair or tugs beard","Friendly","Self-sacrifice or Slaughter","Fairness or Creativity","Live and let live or Glory","Protective of close family members","Forbidden love or susceptibility to romance","33","ADDY'S FARM",""
"510","FELICIA","KLIMEK","Peasant","Uncommon","Dwarf","8","Female","KLIMEK [380]","","","","","","","","","","","","","22","",""
"511","LAZAR","BEATTY","Peasant","Common","Human","6","Male","BEATTY [381]","","","","","","","","","","","","","6","",""
"512","TIIA","VINCENT","Peasant","Common","Human","6","Female","VINCENT [382]","","","","","","","","","","","","","6","",""
"513","CRISTIANA","JESPERSEN","Peasant","Common","Human","20","Female","JESPERSEN [151]","ALE JESPERSEN","Birthmark","Charisma - persuasive, forceful, born leader","Wisdom - oblivious, absentminded","Paints beautifully","Particularly low or high voice","Suspicious","Self-sacrifice or Slaughter","Honor or Freedom","People or Self-knowledge","Protective of a sentimental keepsake and Protective of a sentimental keepsake","Enjoys decadent pleasures","20","CRISTIANA'S FARM",""
"514","FINLEY","DANIEL","Peasant","Common","Human","10","Female","DANIEL [383]","","","","","","","","","","","","","10","",""
"515","JEAN","LUDVIGSEN","Peasant","Common","Human","9","Female","LUDVIGSEN [384]","","","","","","","","","","","","","9","",""
"516","JOHANNA","BLACKWOOD","Peasant","Uncommon","Dwarf","5","Female","BLACKWOOD [271]","","","","","","","","","","","","","13","",""
"517","ETELKA","MICHAUD","Peasant","Common","Human","26","Female","MICHAUD [152]","DOMINIK MICHAUD","Flamboyant or outlandish clothes","Wisdom - perceptive, spiritual, insightful","Strength - feeble, scrawny","Great with animals","Uses colorful oaths and exclamations","Honest","Life or Pain","Honor or Freedom","Knowledge or Discovery","Protective of close family members","Foolhardy bravery","26","ETELKA'S FARM",""
"518","GULL","PASZEK","Peasant","Common","Human","4","Female","PASZEK [169]","","","","","","","","","","","","","4","",""
"519","DORIAN","MCFEE","Peasant","Common","Human","3","Male","MCFEE [156]","","","","","","","","","","","","","3","",""
"520","DOMINIK","MICHAUD","Peasant","Common","Human","31","Male","MICHAUD [152]","ETELKA MICHAUD","Piercings","Strength - powerful, brawny, strong as an ox","Wisdom - oblivious, absentminded","Great at one game","Fidgets","Ponderous","Self-sacrifice or Slaughter","Honor or Freedom","Knowledge or Discovery","Drawn to a special place","Shameful or scandalous history","31","ETELKA'S FARM",""
"521","IWAN","MATHIESON","Peasant","Common","Human","35","Male","MATHIESON [153]","DORETTA MATHIESON","Bald","Wisdom - perceptive, spiritual, insightful","Charisma - dull, boring","Plays a musical instrument","Stares into the distance","Ponderous","Self-sacrifice or Slaughter","Honor or Freedom","Knowledge or Discovery","Out for revenge","Possession of forbidden lore","35","IWAN'S FARM",""
